Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,"112155598,4","123134583,7","124482774,2","129379123,8","142025078,8","150574795,3","157930018,4","163820513,7","191767441,7","188039209,9","189106529,2","201450800,2","230317882,8","271183082,2","281398705,9","378660015,8","451152460,8","507298148,3","610578631,2","700764746,9","797048197,1","694803623,9","748312391,3","658679332,6","637820670,6","864849836,8",1122265015,1200991976,1264899288,1233930279,1440711459,1377374988,1411917554,1278781259,"851174357,3",1115389674,1007791127,"937741512,4","967338390,4","999477458,7",914500332,"931833293,8",991387865,1139754772,1270080228,1350300947,1473721521,1698125680,1985370255,1981728179,1986014759,2195599491,2169706411,1538175744,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87762259546,99120804120,112910634408,131121900810,160164449898,173569339953,206261020284,211289943865,218299964232,242701986341,273436840404,305748602886,313453027478,340318889971,353887730677,362960087880,375653832314,429021116139,506017713496,563639358108,592014912581,608258706468,590148092992,574833733819,575998828354,602021276596,626950495050,651001011122,631432423323,674325233896,739455928894,732716942149,752531702033,887751766469,1018385574395,1164179473990,1310795189078,1457872837626,1542560728745,1370839154047,1614072093764,1778632046933,1821445449562,1826768562832,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264565361607,250655375440,262984554054,274765529437,309960006641,380559534818,407476284177,406274819942,445862330981,431622998586,427129902048,468271204325,526447616722,632905170791,759226352467,881333483848,996747379797,1255130342818,1510801664711,1270154042033,1303578139232,1434867853223,1340631523589,1417536159601,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,118710309542,108721034569,111431738019,111035571007,106019113632,107496240243,154095512369,192981619166,208774024534,201572650957,257420293190,260459896583,271133679206,263691005482,291913801126,341759012939,329619351052,286604024805,294977518761,289884127679,271659728209,278628772873,301127808995,351982634291,393541693928,407543292839,429180758069,477421391034,551552055046,539507555859,581208562423,696278717728,666100606813,685434185074,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4211762522,4705377500,5502763243,5482749434,5794301527,6053790468,7013580346,6913560997,7074820186,8179771226,8981111664,10694569522,11532517864,16387454417,15535549706,7226476865,9857547849,13359145454,15399431310,20729772211,27572307600,32644872980,24339421605,19770402077,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,100630707852,124404150138,154671012211,173006275030,179857806672,172323378550,217501911334,251162316598,266259263033,277198774857,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59184116489,49557050183,46685178504,50097303271,59062254890,69709153115,75879434776,72057028560,69993497892,78718820478,91506211306,98562023844,112159813640,136769878360,142254742078,161162492227,151627687364,172349014327,148179569816,176633881532,189400991349,194109567422,203181343417,228454092247,257430422884,306667904950,297831277507,270372534122,309523098698,343974067008,356937329023,379468645985,422660548425,440501207082,559224201926,728007549739,856084628930,952653115237,1019461964546,1083278591740,1198474937919,1324806909018,1453827558024,1640958734587,1931644329934,2256902590825,2712950885444,3494055942162,4521827271026,4990233518752,5930502270313,7321891954608,8229490030100,9240270452047,
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,"546203558,5","618245635,1","645284474,6",761047199,"921063326,3",919771228,1024102882,1082922726,1281281278,1361360292,1455482795,1584128511,1849400398,2508421426,3070152314,3893839184,4662053820,6265068200,7900526290,9142933956,10175617589,8432589956,7567110856,6838184772,6841639250,6977650648,9158302111,10087654451,10255169812,9757410630,10795850585,10492628588,11152971284,11045760269,8313557515,11000146269,12139234220,11722213507,12782570246,12556457527,10417060605,10545285037,11486664265,13737482343,15481092597,17084927540,17800887469,20343636059,24224905504,24277494337,24884503951,25381617036,27098590232,31062026533,
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,"618740961,9","657597316,8","699373631,1","723624330,9",782384404,"814140009,4","853268764,4","934078958,3",1053076992,1152418382,1160002329,1233991071,1430951432,1758727647,2255496517,2752770608,3076592634,3366368801,4409920571,5811443663,6740757493,7636346056,7322913600,7381853865,7801858401,8148223552,10621157923,12302473329,12493286837,11140057046,11151578703,12434368416,11396311478,13532134753,9220471471,8733230556,9732328761,9840553566,9629649715,10486451907,9287367569,9633109257,10879778328,13621738512,15775356737,16587857509,17953066391,20431781120,23322256428,23381142604,23622482955,26587310734,26472054176,29567504655,
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,"131731862,6","151675739,2","166521239,9","172233430,9","185693724,8","198318063,9","220613582,4","237397428,3",251247458,"265040036,1","274960699,9","322128019,3","410669262,9","541973362,5","585364635,4",767102679,"754549600,5","765224030,6","878771771,3",1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259756,3019993723,3495868725,4648628839,6087002682,7731261169,8394688589,11859015181,9593536719,12007880067,14425606793,13677929162,14085852120,
